Ticker,GC=F,GC=F,GC=F,GC=F,GC=F,GC=F
Price,Open,High,Low,Close,Adj Close,Volume
Datetime,,,,,,
2026-03-11 10:00:00+00:00,5195.7998046875,5203.0,5184.7998046875,5194.10009765625,5194.10009765625,4926
2026-03-11 11:00:00+00:00,5194.2998046875,5201.10009765625,5182.2998046875,5189.2001953125,5189.2001953125,4825
2026-03-11 12:00:00+00:00,5188.7001953125,5207.5,5172.0,5175.10009765625,5175.10009765625,9448
2026-03-11 13:00:00+00:00,5174.7001953125,5191.10009765625,5155.89990234375,5184.2998046875,5184.2998046875,14343
2026-03-11 14:00:00+00:00,5184.0,5204.2998046875,5181.7998046875,5190.7998046875,5190.7998046875,13639
2026-03-11 15:00:00+00:00,5190.7001953125,5193.7998046875,5169.89990234375,5173.39990234375,5173.39990234375,10146
2026-03-11 16:00:00+00:00,5173.39990234375,5185.5,5170.7998046875,5183.10009765625,5183.10009765625,6393
2026-03-11 17:00:00+00:00,5183.2998046875,5188.5,5158.39990234375,5176.60009765625,5176.60009765625,20090
2026-03-11 18:00:00+00:00,5176.60009765625,5186.2998046875,5176.2001953125,5180.10009765625,5180.10009765625,3915
2026-03-11 19:00:00+00:00,5180.2001953125,5191.2001953125,5176.89990234375,5191.0,5191.0,2266
2026-03-11 20:00:00+00:00,5190.7998046875,5191.5,5182.89990234375,5183.89990234375,5183.89990234375,0
2026-03-11 22:00:00+00:00,5185.39990234375,5189.7998046875,5135.0,5144.7998046875,5144.7998046875,3397
2026-03-11 23:00:00+00:00,5144.5,5163.89990234375,5138.7998046875,5140.0,5140.0,2955
2026-03-12 00:00:00+00:00,5139.39990234375,5168.0,5130.0,5158.10009765625,5158.10009765625,4338
2026-03-12 01:00:00+00:00,5158.2001953125,5178.39990234375,5156.2001953125,5174.39990234375,5174.39990234375,4479
2026-03-12 02:00:00+00:00,5173.7001953125,5180.60009765625,5150.5,5156.0,5156.0,4453
2026-03-12 03:00:00+00:00,5155.7001953125,5160.5,5152.0,5158.2001953125,5158.2001953125,2543
2026-03-12 04:00:00+00:00,5158.39990234375,5159.2001953125,5145.2998046875,5147.39990234375,5147.39990234375,1775
2026-03-12 05:00:00+00:00,5147.60009765625,5162.5,5142.0,5159.7001953125,5159.7001953125,2469
2026-03-12 06:00:00+00:00,5159.60009765625,5176.2001953125,5152.7001953125,5172.60009765625,5172.60009765625,3128
2026-03-12 07:00:00+00:00,5171.89990234375,5190.89990234375,5170.2998046875,5188.39990234375,5188.39990234375,4092
2026-03-12 08:00:00+00:00,5188.2001953125,5195.89990234375,5181.39990234375,5184.39990234375,5184.39990234375,4195
2026-03-12 09:00:00+00:00,5184.60009765625,5196.2001953125,5179.7998046875,5194.2001953125,5194.2001953125,4448
2026-03-12 10:00:00+00:00,5194.10009765625,5197.7998046875,5181.7998046875,5188.2001953125,5188.2001953125,4975
2026-03-12 11:00:00+00:00,5187.89990234375,5189.60009765625,5178.60009765625,5184.7998046875,5184.7998046875,2449
2026-03-12 12:00:00+00:00,5185.0,5192.2998046875,5168.5,5187.7001953125,5187.7001953125,7942
2026-03-12 13:00:00+00:00,5187.5,5192.5,5152.10009765625,5157.39990234375,5157.39990234375,12991
2026-03-12 14:00:00+00:00,5157.0,5170.2001953125,5144.2001953125,5148.7998046875,5148.7998046875,10328
2026-03-12 15:00:00+00:00,5148.60009765625,5150.89990234375,5114.60009765625,5138.0,5138.0,16059
2026-03-12 16:00:00+00:00,5138.10009765625,5144.2998046875,5126.7998046875,5130.10009765625,5130.10009765625,10170
2026-03-12 17:00:00+00:00,5129.89990234375,5136.5,5109.0,5112.39990234375,5112.39990234375,13911
2026-03-12 18:00:00+00:00,5111.89990234375,5119.5,5095.2998046875,5100.0,5100.0,6878
2026-03-12 19:00:00+00:00,5100.2001953125,5102.89990234375,5084.5,5091.7001953125,5091.7001953125,7030
2026-03-12 20:00:00+00:00,5092.0,5097.60009765625,5058.2001953125,5084.10009765625,5084.10009765625,0
2026-03-12 22:00:00+00:00,5084.0,5099.2998046875,5074.60009765625,5099.10009765625,5099.10009765625,2227
2026-03-12 23:00:00+00:00,5099.60009765625,5104.39990234375,5092.60009765625,5101.5,5101.5,2764
2026-03-13 00:00:00+00:00,5101.0,5118.10009765625,5100.39990234375,5116.60009765625,5116.60009765625,3464
2026-03-13 01:00:00+00:00,5116.7001953125,5128.5,5111.39990234375,5128.5,5128.5,7335
2026-03-13 02:00:00+00:00,5127.89990234375,5132.39990234375,5113.7001953125,5115.39990234375,5115.39990234375,3702
2026-03-13 03:00:00+00:00,5115.7998046875,5120.0,5109.39990234375,5119.2001953125,5119.2001953125,2329
2026-03-13 04:00:00+00:00,5118.89990234375,5121.10009765625,5105.5,5107.10009765625,5107.10009765625,2037
2026-03-13 05:00:00+00:00,5107.39990234375,5114.89990234375,5100.60009765625,5106.2001953125,5106.2001953125,4068
2026-03-13 06:00:00+00:00,5106.10009765625,5111.2998046875,5088.60009765625,5092.2001953125,5092.2001953125,5385
2026-03-13 07:00:00+00:00,5092.2001953125,5098.2998046875,5075.5,5089.5,5089.5,5635
2026-03-13 08:00:00+00:00,5089.7998046875,5092.7998046875,5066.0,5092.2001953125,5092.2001953125,6613
2026-03-13 09:00:00+00:00,5092.2998046875,5101.89990234375,5087.89990234375,5094.2998046875,5094.2998046875,4103
2026-03-13 10:00:00+00:00,5094.0,5103.39990234375,5085.0,5099.60009765625,5099.60009765625,4561
2026-03-13 11:00:00+00:00,5099.89990234375,5112.89990234375,5091.10009765625,5112.89990234375,5112.89990234375,4828
2026-03-13 12:00:00+00:00,5113.0,5128.5,5109.7998046875,5124.39990234375,5124.39990234375,7661
2026-03-13 13:00:00+00:00,5124.60009765625,5127.89990234375,5102.10009765625,5107.5,5107.5,8918
2026-03-13 14:00:00+00:00,5107.10009765625,5114.10009765625,5039.2998046875,5045.7998046875,5045.7998046875,17577
2026-03-13 15:00:00+00:00,5045.89990234375,5076.2001953125,5032.2001953125,5039.10009765625,5039.10009765625,20600
2026-03-13 16:00:00+00:00,5038.7998046875,5057.0,5022.7998046875,5050.60009765625,5050.60009765625,13963
2026-03-13 17:00:00+00:00,5050.10009765625,5068.10009765625,5047.5,5050.89990234375,5050.89990234375,9916
2026-03-13 18:00:00+00:00,5050.7998046875,5056.0,5040.7001953125,5050.89990234375,5050.89990234375,4572
2026-03-13 19:00:00+00:00,5050.89990234375,5054.2001953125,5014.10009765625,5022.0,5022.0,8977
2026-03-13 20:00:00+00:00,5022.2998046875,5061.7001953125,5017.0,5061.7001953125,5061.7001953125,0
2026-03-15 22:00:00+00:00,5027.60009765625,5029.89990234375,5003.0,5028.7998046875,5028.7998046875,4915
2026-03-15 23:00:00+00:00,5028.0,5030.0,4970.10009765625,5000.60009765625,5000.60009765625,6451
2026-03-16 00:00:00+00:00,5001.10009765625,5035.39990234375,5000.0,5030.39990234375,5030.39990234375,5504
2026-03-16 01:00:00+00:00,5031.5,5031.5,4986.0,5020.0,5020.0,6495
2026-03-16 02:00:00+00:00,5019.39990234375,5022.7001953125,5001.39990234375,5006.60009765625,5006.60009765625,2954
2026-03-16 03:00:00+00:00,5007.2001953125,5024.2998046875,5001.39990234375,5022.5,5022.5,2353
2026-03-16 04:00:00+00:00,5023.2001953125,5030.10009765625,5016.0,5016.5,5016.5,1556
2026-03-16 05:00:00+00:00,5016.39990234375,5024.0,5006.89990234375,5021.10009765625,5021.10009765625,2199
2026-03-16 06:00:00+00:00,5021.0,5039.7998046875,5008.5,5016.2001953125,5016.2001953125,5219
2026-03-16 07:00:00+00:00,5016.10009765625,5020.0,4992.89990234375,4998.89990234375,4998.89990234375,6856
2026-03-16 08:00:00+00:00,4998.7001953125,5008.0,4988.2001953125,4995.0,4995.0,8068
2026-03-16 09:00:00+00:00,4994.10009765625,4995.60009765625,4976.5,4979.39990234375,4979.39990234375,9581
2026-03-16 10:00:00+00:00,4979.7001953125,5005.2998046875,4973.5,5004.2001953125,5004.2001953125,7860
2026-03-16 11:00:00+00:00,5004.2998046875,5028.2001953125,4996.7998046875,5001.89990234375,5001.89990234375,9349
2026-03-16 12:00:00+00:00,5001.7001953125,5033.5,4999.5,5024.89990234375,5024.89990234375,13053
2026-03-16 13:00:00+00:00,5025.39990234375,5041.2998046875,5018.7998046875,5035.7001953125,5035.7001953125,12908
2026-03-16 14:00:00+00:00,5035.7998046875,5044.5,4992.10009765625,5000.7998046875,5000.7998046875,16157
2026-03-16 15:00:00+00:00,5000.39990234375,5010.89990234375,4988.5,4991.89990234375,4991.89990234375,14779
2026-03-16 16:00:00+00:00,4991.5,5004.2001953125,4978.60009765625,4995.89990234375,4995.89990234375,9464
2026-03-16 17:00:00+00:00,4996.10009765625,5009.60009765625,4989.5,4996.7001953125,4996.7001953125,8491
